"구간번호","자치구 ID","자치구 이름","도로명","시점","종점","청소시각","청소종류","담당부서","부서 연락처"
"10001684","13","14 마포구","내부순환로성산대교연결램프(망","내부순환로입구(강변북로망원동)","성산분기점(내부순환로본선)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001687","04","16 강서구","공항로","강서구청입구","88체육관","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001688","04","16 강서구","공항로","88체육관","강서구청입구","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001689","04","16 강서구","공항로","88체육관","강서구청입구","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001706","13","14 마포구","강변북로","성산대교북단","월드컵경기장입구(강변북로)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001708","13","14 마포구","성산로","상암교입구","성산대교북단","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001708","13","14 마포구","성산로","상암교입구","성산대교북단","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001709","13","14 마포구","성산로","상암교입구","성산대교북단","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001709","13","14 마포구","성산로","상암교입구","성산대교북단","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001710","04","16 강서구","공항로","88체육관","발산역","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001711","04","16 강서구","공항로","88체육관","발산역","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001713","04","16 강서구","공항로","발산역","88체육관","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001714","04","16 강서구","공항로","발산역","88체육관","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001717","04","16 강서구","공항로","발산역","내발산삼거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001718","04","16 강서구","공항로","발산역","내발산삼거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001719","04","16 강서구","공항로","내발산삼거리","발산역","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001720","04","16 강서구","공항로","내발산삼거리","발산역","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001743","04","16 강서구","양천길","방화2단지","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001743","04","16 강서구","양천길","방화2단지","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001743","04","16 강서구","양천길","방화2단지","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001743","04","16 강서구","양천길","방화2단지","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001743","04","16 강서구","양천길","방화2단지","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001745","17","08 성북구","동부간선도로군자교연결램프","군자교서단","군자교동단","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10001745","17","08 성북구","동부간선도로군자교연결램프","군자교서단","군자교동단","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10001745","23","01 종로구","동부간선도로군자교연결램프","군자교서단","군자교동단","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10001751","04","16 강서구","양천길","강서구청별관입구","가양대교남단","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001751","04","16 강서구","양천길","강서구청별관입구","가양대교남단","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001765","04","16 강서구","양천길","가양3-5단지","가양대교남단","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001768","13","14 마포구"," ","마포농수산시장삼거리","상암교입구","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001770","13","14 마포구","증산로","월드컵경기장입구(강변북로)","평화의공원","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001778","13","14 마포구","내부순환로성산대교연결램프(상","성산분기점(내부순환로본선)","월드컵경기장입구(강변북로)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001778","13","14 마포구","내부순환로성산대교연결램프(상","성산분기점(내부순환로본선)","월드컵경기장입구(강변북로)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001779","13","14 마포구","내부순환로성산대교연결램프(상","성산분기점(내부순환로본선)","월드컵경기장입구(강변북로)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001782","13","14 마포구","강변북로","월드컵경기장입구(강변북로)","노을공원입구","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001782","13","14 마포구","강변북로","월드컵경기장입구(강변북로)","노을공원입구","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001783","13","14 마포구","강변북로","월드컵경기장입구(강변북로)","노을공원입구","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001783","13","14 마포구","강변북로","월드컵경기장입구(강변북로)","노을공원입구","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001785","13","14 마포구","강변북로","노을공원입구","월드컵경기장입구(강변북로)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001786","13","14 마포구","강변북로","노을공원입구","월드컵경기장입구(강변북로)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001787","13","14 마포구","강변북로","노을공원입구","월드컵경기장입구(강변북로)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001787","13","14 마포구","강변북로","노을공원입구","월드컵경기장입구(강변북로)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001788","13","14 마포구","강변북로","노을공원입구","월드컵경기장입구(강변북로)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001867","05","21 관악구","남부순환로","시흥IC(구로구)","구로전화국","2016-01-21 00:00:00.0","기타청소","청소행정과","880-3521"
"10001867","05","21 관악구","남부순환로","시흥IC(구로구)","구로전화국","2016-01-21 00:00:00.0","기타청소","청소행정과","880-3521"
"10001867","07","17 구로구","남부순환로","시흥IC(구로구)","구로전화국","2016-01-21 00:00:00.0","기타청소","청소행정과","860-2896"
"10001875","07","17 구로구","공단로","공단오거리","만민중앙교회","2016-01-21 00:00:00.0","기타청소","청소행정과","860-2896"
"10001876","07","17 구로구","공단로","만민중앙교회","공단오거리","2016-01-21 00:00:00.0","기타청소","청소행정과","860-2896"
"10001899","04","16 강서구","공항로","88체육관","발산역","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001928","05","21 관악구","도림천로","구로공단역","구로1교","2016-01-21 00:00:00.0","기타청소","청소행정과","880-3521"
"10001928","05","21 관악구","도림천로","구로공단역","구로1교","2016-01-21 00:00:00.0","기타청소","청소행정과","880-3521"
"10001928","07","17 구로구","도림천로","구로공단역","구로1교","2016-01-21 00:00:00.0","기타청소","청소행정과","860-2896"
"10001993","05","21 관악구","시흥대로","시흥IC(구로구)","디지털단지입구","2016-01-21 00:00:00.0","기타청소","청소행정과","880-3521"
"10001993","07","17 구로구","시흥대로","시흥IC(구로구)","디지털단지입구","2016-01-21 00:00:00.0","기타청소","청소행정과","860-2896"
"10002063","04","16 강서구","올림픽대로","행주대교-개화동길분기점(올림픽","88JC","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10002063","04","16 강서구","올림픽대로","행주대교-개화동길분기점(올림픽","88JC","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10002063","04","16 강서구","올림픽대로","행주대교-개화동길분기점(올림픽","88JC","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
